HOSPITAL_ID,PAYOR1,APRDRG,SEVERITY,PATS,PWC,TD,TC,XC,XD
1,1,650,2,1,1,4,72958,72958,4
1,1,651,1,1,1,1,49394,49394,1
1,1,651,2,1,1,2,54370,54370,2
1,1,651,3,2,2,9,131671,65835.5,4.5
1,1,660,2,9,9,34,312138,34682,3.78
1,1,660,3,20,20,119,1366283,68314.15,5.95
1,1,660,4,7,7,125,1650062,235723.1429,17.86
1,1,661,1,1,1,3,27419,27419,3
1,1,661,2,2,2,7,80344,40172,3.5
1,1,661,3,5,5,41,467139,93427.8,8.2
1,1,661,4,2,2,45,2446623,1223311.5,22.5
1,1,662,1,19,19,108,1120960,58997.8947,5.68
1,1,662,2,12,12,114,810069,67505.75,9.5
1,1,662,3,8,8,58,473196,59149.5,7.25
1,1,662,4,1,1,7,44168,44168,7
1,1,663,1,4,4,10,50912,12728,2.5
1,1,663,2,4,4,19,268710,67177.5,4.75
1,1,663,3,6,6,23,283730,47288.3333,3.83
1,1,680,1,9,9,31,731779,81308.7778,3.44
1,1,680,2,11,11,73,1251369,113760.8182,6.64
1,1,680,3,7,7,41,771273,110181.8571,5.86
1,1,680,4,5,5,82,1261790,252358,16.4
1,1,681,1,10,10,24,655920,65592,2.4
1,1,681,2,9,9,50,794500,88277.7778,5.56
1,1,681,3,1,1,6,184111,184111,6
1,1,681,4,4,4,87,980769,245192.25,21.75
1,1,690,2,5,5,64,597637,119527.4,12.8
1,1,690,3,8,8,111,1491360,186420,13.88
1,1,690,4,11,11,231,2544676,231334.1818,21
1,1,691,1,1,1,1,9159,9159,1
1,1,691,2,4,4,22,217362,54340.5,5.5
1,1,691,3,5,5,33,349665,69933,6.6
1,1,691,4,10,10,164,2288093,228809.3,16.4
1,1,692,3,1,1,13,118067,118067,13
1,1,692,4,1,1,26,280850,280850,26
1,1,694,1,2,2,2,113221,56610.5,1
1,1,694,2,5,5,21,172997,34599.4,4.2
1,1,694,3,7,7,47,355971,50853,6.71
1,1,694,4,4,4,42,420361,105090.25,10.5
1,1,695,2,11,11,49,346578,31507.0909,4.45
1,1,695,3,12,12,105,1025070,85422.5,8.75
1,1,695,4,13,13,362,4523771,347982.3846,27.85
1,1,696,1,4,4,16,200205,50051.25,4
1,1,696,2,30,30,124,936780,31226,4.13
1,1,696,3,29,29,145,2021641,69711.7586,5
1,1,696,4,5,5,41,485404,97080.8,8.2
1,1,710,1,1,1,5,59931,59931,5
1,1,710,2,6,6,40,532282,88713.6667,6.67
1,1,710,3,15,15,174,1855830,123722,11.6
1,1,710,4,27,27,443,6176981,228777.0741,16.41
1,1,711,1,1,1,4,104666,104666,4
1,1,711,2,9,9,38,467920,51991.1111,4.22
1,1,711,3,4,4,55,652347,163086.75,13.75
1,1,711,4,7,7,93,1277711,182530.1429,13.29
1,1,720,2,17,17,92,774972,45586.5882,5.41
1,1,720,3,83,83,440,4361684,52550.4096,5.3
1,1,720,4,123,123,1186,13632715,110835.0813,9.64
1,1,721,2,19,19,73,573573,30188.0526,3.84
1,1,721,3,18,18,89,802559,44586.6111,4.94
1,1,721,4,14,14,149,1497698,106978.4286,10.64
